,Target,Target_Namespace,Target_Method,Job_Id,Job_OutlierMode,Job_Toolchain,Job_IterationCount,Job_LaunchCount,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes,AllocatedKB,heuristic,s,size
count,570,570,570,570,570,570,570.0,570.0,570.0,570,570,570.0,570,570,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570,570.0,570.0
unique,1,1,1,1,1,1,,,,1,38,,1,1,,,,,,,,,,1,,
top,Benchmark.OctagonTessellationModel_NormalSquares,Benchmarks,Normal Squares,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=10&s=0,,Workload,Result,,,,,,,,,,entropy,,
freq,570,570,570,570,570,570,,,,570,15,,570,570,,,,,,,,,,570,,
mean,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,771145121.4035088,512.0,1506.1428152105261,208.31578947368422,185.1315789473684,170.31578947368422,3749129.3947368423,3661.2591745476975,,19.210526315789473,10.0
std,,,,,,,0.0,0.0,0.0,,,0.0,,,4.32428869980101,28889568.271792963,0.0,56.42493778876009,0.5188162386818028,0.6563621034183882,0.5188162386818028,124.0614408147463,0.12115375079565069,,11.72658170684986,0.0
min,,,,,,,15.0,1.0,10.0,,,0.0,,,1.0,725729600.0,512.0,1417.4406299999998,207.0,183.0,169.0,3749014.0,3661.146484375,,0.0,10.0
25%,,,,,,,15.0,1.0,10.0,,,0.0,,,4.0,750720350.0,512.0,1466.250685,208.0,185.0,170.0,3749059.0,3661.1904296875,,9.0,10.0
50%,,,,,,,15.0,1.0,10.0,,,0.0,,,8.0,764163500.0,512.0,1492.506835,208.0,185.0,170.0,3749096.5,3661.22705078125,,18.5,10.0
75%,,,,,,,15.0,1.0,10.0,,,0.0,,,12.0,783837012.5,512.0,1530.9316675000002,209.0,186.0,171.0,3749123.0,3661.2529296875,,29.0,10.0
max,,,,,,,15.0,1.0,10.0,,,0.0,,,15.0,890219850.0,512.0,1738.7106399999998,209.0,186.0,171.0,3749697.0,3661.8134765625,,39.0,10.0
count,585,585,585,585,585,585,585.0,585.0,585.0,585,585,585.0,585,585,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585,585.0,585.0
unique,1,1,1,1,1,1,,,,1,39,,1,1,,,,,,,,,,1,,
top,Benchmark.OctagonTessellationModel_NormalSquares,Benchmarks,Normal Squares,MediumRun,DontRemove,InProcessNoEmitToolchain,,,,"MediumRun(OutlierMode=DontRemove, Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=1, WarmupCount=10)",Heuristic=Entropy&Size=20&s=0,,Workload,Result,,,,,,,,,,entropy,,
