,Target_Method,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes,AllocatedKB,heuristic,s,size
count,570,570,570,570,570,570,570,570,570,570,570,570
unique,1,,,,,,,,,1,,
top,Normal Squares,,,,,,,,,entropy,,
freq,570,,,,,,,,,570,,
mean,,771145121.403509,512,1506.14281521053,208.315789473684,185.131578947368,170.315789473684,3749129.39473684,3661.2591745477,,19.2105263157895,10
std,,28889568.271793,0,56.4249377887601,0.518816238681803,0.656362103418388,0.518816238681803,124.061440814746,0.121153750795651,,11.7265817068499,0
min,,725729600,512,1417.44063,207,183,169,3749014,3661.146484375,,0,10
25%,,750720350,512,1466.250685,208,185,170,3749059,3661.1904296875,,9,10
50%,,764163500,512,1492.506835,208,185,170,3749096.5,3661.22705078125,,18.5,10
75%,,783837012.5,512,1530.9316675,209,186,171,3749123,3661.2529296875,,29,10
max,,890219850,512,1738.71064,209,186,171,3749697,3661.8134765625,,39,10
count,585,585,585,585,585,585,585,585,585,585,585,585
unique,1,,,,,,,,,1,,
top,Normal Squares,,,,,,,,,entropy,,
freq,585,,,,,,,,,585,,
mean,,867673343.076923,114.871794871795,7566.63947333333,86.8717948717949,76.025641025641,62.7435897435897,14131784.7692308,13800.5710637019,,19.2307692307692,20
std,,194453775.408372,25.865013942761,314.298732214086,19.7655515594936,17.3034270590353,14.1082858718684,353.554562272485,0.345268127219223,,11.5756776003511,0
min,,446245100,64,6920.92031,48,42,35,14131038,13799.841796875,,0,20
25%,,914690100,128,7304.88594,96,84,69,14131535,13800.3271484375,,9,20
50%,,945383800,128,7520.95156,97,85,70,14131753,13800.5400390625,,19,20
75%,,980765200,128,7768.60156,97,85,70,14131995,13800.7763671875,,29,20
max,,1096344700,128,8565.19297,97,85,70,14132723,13801.4873046875,,39,20
count,600,600,600,600,600,600,600,600,600,600,600,600
unique,1,,,,,,,,,1,,
top,Normal Squares,,,,,,,,,entropy,,
freq,600,,,,,,,,,600,,
mean,,614403189.833333,31.6,19560.2605050333,35.55,32.575,21.725,31435538.45,30698.7680175781,,19.5,30
std,,95972426.5368601,2.50008347106061,3298.78160641893,2.81259390494318,2.65633868800189,1.71880738635417,117.100605262832,0.114356059826984,,11.5530279186952,0
min,,322681950,16,17581.65625,18,16,11,31435256,30698.4921875,,0,30
25%,,575289825,32,18114.1859425,36,33,22,31435500.5,30698.7309570313,,9.75,30
50%,,593648200,32,18644.489065,36,33,22,31435501,30698.7314453125,,19.5,30
75%,,614252200,32,19313.25938,36,33,22,31435508,30698.73828125,,29.25,30
max,,1148639800,32,35894.99375,36,33,22,31436000,30699.21875,,39,30
count,570,570,570,570,570,570,570,570,570,570,570,570
unique,1,,,,,,,,,1,,
top,Basic,,,,,,,,,entropy,,
freq,570,,,,,,,,,570,,
mean,,680990563.508772,4015.15789473684,169.669547105263,46.0526315789474,8.81578947368421,0,122423,119.5537109375,,19.2105263157895,10
std,,90439851.0978822,492.175250964167,8.84279479900256,5.76767872223634,1.12149308487929,0,0,0,,11.7265817068499,0
min,,172124700,1024,153.67012,11,2,0,122423,119.5537109375,,0,10
25%,,655427600,4096,161.4424825,47,9,0,122423,119.5537109375,,9,10
50%,,695114600,4096,170.31234,47,9,0,122423,119.5537109375,,18.5,10
75%,,724823825,4096,177.0548575,47,9,0,122423,119.5537109375,,29,10
max,,777628900,4096,189.85081,47,9,0,122423,119.5537109375,,39,10
count,585,585,585,585,585,585,585,585,585,585,585,585
unique,1,,,,,,,,,1,,
top,Basic,,,,,,,,,entropy,,
freq,585,,,,,,,,,585,,
mean,,774849025.982906,853.333333333333,934.02352808547,29,9,0,357660.538461538,349.277869591346,,19.2307692307692,20
std,,167510377.105789,241.565669338049,105.11399317407,8.49254306266579,2.83084768755526,0,0.930260509419063,0.000908457528729554,,11.5756776003511,0
min,,495773300,512,796.90908,17,5,0,357659,349.2763671875,,0,20
25%,,569052600,512,846.33643,17,5,0,357660,349.27734375,,9,20
50%,,858942000,1024,890.20654,35,11,0,357660,349.27734375,,19,20
75%,,890509700,1024,1009.08086,35,11,0,357662,349.279296875,,29,20
max,,1013129500,1024,1318.55215,35,11,0,357662,349.279296875,,39,20
count,600,600,600,600,600,600,600,600,600,600,600,600
unique,1,,,,,,,,,1,,
top,Basic,,,,,,,,,entropy,,
freq,600,,,,,,,,,600,,
